"자전거번호","대여일시","대여 대여소번호","대여 대여소명","대여거치대","반납일시","반납대여소번호","반납대여소명","반납거치대","이용시간(분)","이용거리(M)","생년","성별","이용자종류","대여대여소ID","반납대여소ID","자전거구분"
"SPB-69895","2025-12-01 00:05:01","03664","맥도날드 서울둔촌DT점 앞","0","2025-12-01 00:11:43","01019","다성이즈빌아파트(호원대 대각선 맞은편)","0","6","703.34","1991","F","내국인","ST-2738","ST-502","일반자전거"
"SPB-30888","2025-12-01 00:05:06","00347","동대문역사문화공원역 9번출구 앞","0","2025-12-01 00:11:46","00383","신당역 12번 출구 뒤","0","6","844.76","2005","M","내국인","ST-163","ST-198","일반자전거"
"SPB-45760","2025-12-01 00:02:25","00624","전농동 동아아파트 앞","0","2025-12-01 00:11:47","04138","조일빌딩 앞","0","9","570.59","2002","F","내국인","ST-392","ST-3317","일반자전거"
"SPB-39467","2025-12-01 00:09:54","02115","관악구시설관리공단","0","2025-12-01 00:11:50","02110","조원동 미성아파트","0","1","0.00","1986",\N,"내국인","ST-883","ST-950","일반자전거"
"SPB-40574","2025-12-01 00:05:37","01455","상봉역 2번 출구","0","2025-12-01 00:11:51","01447","면목역 3번출구","0","6","906.38","2004","F","내국인","ST-1375","ST-1098","일반자전거"
"SPB-59378","2025-12-01 00:02:00","04399","더리브 세종타워 앞","0","2025-12-01 00:11:56","03534","건대입구역 5번출구 뒤","0","9","955.54","1996","M","내국인","ST-3326","ST-1661","일반자전거"
"SPB-37427","2025-12-01 00:01:20","00826","서울역 서부교차로2","0","2025-12-01 00:11:57","00805","문배어린이공원 앞","0","10","49.16",\N,\N,\N,"ST-946","ST-326","일반자전거"
"SPB-60657","2025-12-01 00:05:13","00230","영등포구청역 7번출구","0","2025-12-01 00:12:00","04561","양평역 1번출구","0","6","914.20","1997","M","내국인","ST-413","ST-2812","일반자전거"
"SPB-71340","2025-12-01 00:02:44","01158","가양역 8번출구","0","2025-12-01 00:12:00","02721","등촌1-10단지 교차로","0","9","3440.00",\N,\N,\N,"ST-1249","ST-2037","일반자전거"
"SPB-34272","2025-12-01 00:02:33","00130","신촌역(2호선) 7번출구 앞","0","2025-12-01 00:12:06","04220","신촌 청년주택","0","9","1147.90","2001",\N,"내국인","ST-32","ST-2975","일반자전거"
"SPB-43880","2025-12-01 00:07:10","00250","대림아파트 사거리","0","2025-12-01 00:12:13","05860","어울림병원 앞","0","5","921.99",\N,\N,\N,"ST-298","ST-3171","일반자전거"
"SPB-31751","2025-12-01 00:08:00","00244","영등포삼환아파트 앞","0","2025-12-01 00:12:14","03202","당산롯데캐슬프레스티지","0","4","224.73","2007","M","내국인","ST-293","ST-1973","일반자전거"
"SPB-41063","2025-12-01 00:09:03","01210","롯데월드타워(잠실역2번출구 쪽)","0","2025-12-01 00:12:17","02608","송파구청","0","3","499.90",\N,\N,\N,"ST-891","ST-1681","일반자전거"
"SPB-42844","2025-12-01 00:04:02","01264","천호역 10번 출구 앞","0","2025-12-01 00:12:19","05756","극동아파트","0","8","1652.38",\N,\N,\N,"ST-1083","ST-3131","일반자전거"
"SPB-66092","2025-12-01 00:06:10","03664","맥도날드 서울둔촌DT점 앞","0","2025-12-01 00:12:19","03668","성내삼성아파트","0","6","769.84","1998",\N,"내국인","ST-2738","ST-2740","일반자전거"
"SPB-60577","2025-12-01 00:04:28","03908","오류동 다숲오피스텔 앞","0","2025-12-01 00:12:21","02819","하늘숲초등학교 앞","0","7","1690.00","2008","M","내국인","ST-2753","ST-1959","일반자전거"
"SPB-52396","2025-12-01 00:06:15","04838","동원사거리 행복오피스텔 앞","0","2025-12-01 00:12:26","01440","면목2동 사거리","0","6","1377.15","1997","M","내국인","ST-3025","ST-942","일반자전거"
"SPB-72337","2025-12-01 00:05:47","03774","마곡9단지 910동 상가앞","0","2025-12-01 00:12:29","01186","송정중학교","0","6","962.31","1983",\N,"내국인","ST-2789","ST-1647","일반자전거"
"SPB-67899","2025-12-01 00:09:00","01210","롯데월드타워(잠실역2번출구 쪽)","0","2025-12-01 00:12:32","02608","송파구청","0","4","499.90","2001",\N,"내국인","ST-891","ST-1681","일반자전거"
"SPB-51275","2025-12-01 00:04:28","03764","관문주유소(GS칼택스) 앞","0","2025-12-01 00:12:33","02708","강서한강자이타워 앞","0","8","1173.70","2001","F","내국인","ST-2613","ST-2024","일반자전거"
"SPB-42707","2025-12-01 00:06:43","00670","삼육서울병원 버스정류장","0","2025-12-01 00:12:34","04114","휘경여중고삼거리","0","5","1258.17","1996","M","내국인","ST-2270","ST-2560","일반자전거"
"SPB-69487","2025-12-01 00:06:21","02701","마곡나루역 5번출구 뒤편","0","2025-12-01 00:12:34","02732","마곡수명산 1-2단지","0","6","1268.17","2005","M","내국인","ST-1718","ST-2049","일반자전거"
"SPB-42638","2025-12-01 00:10:07","00474","동대문역사문화공원역 1번출구 뒤편","0","2025-12-01 00:12:35","00475","DDP 패션몰","0","2","415.69",\N,\N,\N,"ST-1780","ST-1781","일반자전거"
"SPB-37070","2025-12-01 00:05:49","02376","수서역 7번출구 앞","0","2025-12-01 00:12:42","02384","자곡사거리","0","6","1542.42","2001","F","내국인","ST-1185","ST-1364","일반자전거"
"SPB-71276","2025-12-01 00:03:19","04481","올림픽공원 북2문 B","0","2025-12-01 00:12:45","04870","몽촌토성역 3번 출구","0","9","1871.31","2001","M","내국인","ST-2592","ST-2876","일반자전거"
"SPB-36928","2025-12-01 00:04:19","02623","석촌동 주민센터","0","2025-12-01 00:12:45","02647","잠실 자전거 수리센터 앞","0","8","848.78","1998","M","내국인","ST-1851","ST-1868","일반자전거"
